data,hora,valor_atual_m3,consumo_ciclo_m3,percentual_minimo,dias_decorridos,dias_restantes,dias_total,media_diaria_m3,projecao_m3,percentual_projecao,custo_atual_reais,custo_projecao_reais,consumo_minimo_m3,leitura_inicial_m3,data_leitura_inicial,data_proxima_leitura,ultrapassou_minimo,status
01/04/2026,08:00,5914.30,1109.20,51.4,14,17,31,79.23,2456.1,113.7,32029.78,39152.03,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
02/04/2026,08:00,5992.87,1187.77,55.0,15,16,31,79.18,2454.6,113.6,32029.78,39152.03,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
03/04/2026,08:00,6109.76,1304.66,60.4,16,15,31,81.54,2527.7,117.0,32029.78,40699.51,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
04/04/2026,08:55,6145.23,1340.13,62.0,17,14,31,78.83,2443.73,113.1,32029.78,41285.9,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
05/04/2026,08:56,6226.18,1421.08,65.8,18,13,31,78.95,2447.45,113.3,32029.78,41407.26,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
06/04/2026,11:16,6318.38,1513.28,70.1,19,12,31,79.65,2469.15,114.3,32029.78,42115.18,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
07/04/2026,11:58,6409.97,1604.87,74.3,20,11,31,80.24,2487.44,115.2,32029.78,42711.85,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
08/04/2026,11:59,6489.39,1684.29,78.0,21,10,31,80.2,2486.2,115.1,32029.78,42671.4,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
09/04/2026,13:07,6562.77,1757.67,81.4,22,9,31,79.89,2476.59,114.7,32029.78,42357.89,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
10/04/2026,11:35,6625.0,1819.9,84.3,23,8,31,79.13,2453.03,113.6,32029.78,41589.29,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
11/04/2026,08:57,6685.6,1880.5,87.1,24,7,31,78.35,2428.85,112.4,32029.78,40800.47,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
12/04/2026,09:01,6750.75,1945.65,90.1,25,6,31,77.83,2412.73,111.7,32029.78,40274.59,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
13/04/2026,13:00,6832.74,2027.64,93.9,26,5,31,77.99,2417.69,111.9,32029.78,40436.4,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
14/04/2026,12:51,6900.33,2095.23,97.0,27,4,31,77.6,2405.6,111.4,32029.78,40041.98,2160.0,4805.1,2026-03-18,2026-04-18,False,leitura_ok
15/04/2026,18:39,6982.53,2177.43,100.8,0,30,30,0,0,0.0,32598.39,32029.78,2160.0,4805.1,2026-04-15,2026-05-15,True,leitura_ok
16/04/2026,18:29,7047.43,64.9,3.0,1,29,30,64.9,1947.0,90.1,32029.78,32029.78,2160.0,6982.53,2026-04-15,2026-05-15,False,leitura_ok
17/04/2026,15:43,7110.17,159.08,7.4,2,28,30,79.54,2386.2,110.5,32029.78,39409.1,2160.0,6951.09,2026-04-15,2026-05-15,False,leitura_ok
17/04/2026,16:03,7111.44,128.91,6.0,2,28,30,64.45,1933.5,89.5,27959.04,27959.04,2160.0,6982.53,2026-04-15,2026-05-15,False,leitura_ok
17/04/2026,16:06,7111.44,160.35,7.4,2,28,30,80.17,2405.1,111.3,27959.04,40025.67,2160.0,6951.09,2026-04-15,2026-05-15,False,leitura_ok
17/04/2026,16:11,7111.75,160.66,7.4,2,28,30,80.33,2409.9,111.6,27959.04,40182.26,2160.0,6951.09,2026-04-15,2026-05-15,False,leitura_ok
17/04/2026,16:17,7112.05,160.96,7.5,2,28,30,80.48,2414.4,111.8,27959.04,40329.07,2160.0,6951.09,2026-04-15,2026-05-15,False,leitura_ok
17/04/2026,16:21,7112.41,161.32,7.5,2,28,30,80.66,2419.8,112.0,27959.04,40505.23,2160.0,6951.09,2026-04-15,2026-05-15,False,leitura_ok
17/04/2026,16:27,7112.7,161.61,7.5,2,28,30,80.81,2424.3,112.2,27959.04,40652.03,2160.0,6951.09,2026-04-15,2026-05-15,False,leitura_ok
17/04/2026,18:27,7119.19,168.1,7.8,2,28,30,84.05,2521.5,116.7,27959.04,43822.99,2160.0,6951.09,2026-04-15,2026-05-15,False,leitura_ok
